,pl_1,pl_2,pl_3,pl_4,pl_5,pl_6,pl_7,pl_8,pl_9,pl_10,pl_11,pl_12,pl_13,pl_14,pl_15,pl_16,pl_17,pl_18,pl_19,pl_20,pl_21,pl_22,pl_23,pl_24,pl_25,pl_26,pl_27,pl_28,pl_29,pl_30,pl_31,pl_32,pl_33,pl_34,pl_35,pl_36,pl_37,pl_38,pl_39,pl_40,pl_41,pl_42,pl_43,pl_44,pl_45,pl_46,pl_47,pl_48
undefined,0.082322672,0.139020992,0.12975132,0.110782888,0.157601788,0.145879619,0.106329455,0.151011146,0.02360571,0.041409547,0.090443883,0.109440199,0.14898915,0.117831396,0.140742537,0.118542161,0.097654441,0.137539239,0.150657094,0.090061858,0.131950223,0.153898616,0.208606232,0.127975734,0.10399182,0.160640716,0.156836382,0.126878826,0.134834156,0.147080879,0.123795302,0.083092538,0.096800725,0.174089044,0.115743449,0.112630105,0.107455433,0.122078476,0.032422871,0.149662488,0.377018388,0.057941627,0.191233427,0.151244343,0.101151262,0.054657839,0.148405217,0.095064692
upper oral ectoderm,0.020927701,0.01977518,0.029709218,0.025012528,0.029094617,0.036281178,0.014658007,0.005604793,0.013714681,0.006006244,0.013321199,0.021432296,0.016400207,0.019766845,0.026472096,0.034587557,0.020819225,0.02718155,0.028065009,0.018116206,0.023125063,0.039702659,0.029656998,0.026768102,0.034234944,0.04988664,0.028917357,0.029919281,0.035507936,0.093599841,0.066159202,0.122008957,0.217202368,0.073540198,0.070855889,0.098991382,0.021478674,0.041358876,0.007934808,0.043303634,0.094703562,0.018853963,0.052461427,0.029008896,0.025642277,0.011344342,0.040796048,0.025083774
pyloric sphincter,0,0.005420388,0.005242742,0.005774175,0.005332949,0.009082426,0.000655316,0.007157848,0.006525805,0,0.056033659,0.005454518,0.001729091,0.003535586,0.007479744,0.004986436,0.002341373,0.009705226,0.00313373,0.003784805,0.013221845,0.009226716,0.002226543,0.007362385,0.010491907,0.004447643,0.007780286,0.004310336,0.009904049,0.008187246,0.004994168,0.002322375,0.002811777,0.01074464,0.006704424,0.012031753,0.000431526,0.013554075,4.39E-05,0.413820058,0.119901928,0.001403812,0.007929637,0.00908719,0.004317142,0.002485934,0.007282353,0.007851304
acinar-like cells,0,0,0.00030418,0.000288592,0.010150558,0.003546404,0.000341842,0,3.23E-05,0,0,0.00032692,0,0.000102306,0.001627125,0.006390749,0.000180191,0.000347886,0.000135189,0.000309328,0.000225482,0.002356632,0,0.001726707,0.001241851,0.000973633,0.004981955,0.001516155,0.012267137,0.002503098,0.001556348,0.003467416,0.00211534,0.003449423,0.007327367,0.007639239,0.000162743,0.000775949,0.863892108,0.087622046,0.036981826,0,0.003060052,0.00329593,0.000111643,0.000867307,0.000300822,0.013147906
cardiac sphincter,0.004245104,0.001772873,0.002598905,5.87E-05,0.000992947,0.000310324,0.007011271,0,0.000181119,0,0,0.001747102,0.000139071,0.001718261,0.002509334,0.000273617,0.003780422,0.000250927,0,0.001047884,0.000326923,0.012403039,0.000104103,0.000525722,0.001462719,0.001704337,0.007822037,0.001441668,0.003696041,0.003806348,0.003688629,0.000501291,0.001327139,0.047819081,0.008274173,0.001478332,0.000697816,0.002022874,0.004686588,0.100950193,0.046667893,0.000384873,0.017515109,0.014970179,0.00983187,0.154292452,0.002340615,0.000482407
apical plate,0.003745939,0.008091545,0.002680644,0.002645312,0.003473988,0.008001722,0.00026194,0.001389675,0.000677196,0.011374606,0.001904881,0.002305521,0.001898496,0.006158009,0.009854276,0.004248298,0.000699094,0.006167848,0.005067042,0.004848146,0.003385686,0.005640679,0.002869068,0.003634995,0.006847378,0.00711368,0.005706984,0.006205512,0.02793735,0.02369923,0.027687562,0.025960916,0.018075068,0.01041762,0.034057261,0.040637063,0.013554915,0.005605861,0.004894433,0.026773621,0.029116413,0.000653876,0.024603891,0.017521296,0.003604511,0.006853105,0.001088179,0.003901365
stomach (3),0.000272468,0.000757734,0.000974481,0.000340549,0.001735014,0.002335891,0.00030968,0.00616686,0.001747593,0,0.00069502,0.002596235,0.002169052,0.00123085,0.002709876,0.001274307,0.000894081,0.0028677,0.001124265,0.0015236,0.001747844,0.001501903,0.000127862,0.000438436,0.001468169,0.002376339,0.001590461,0.000872014,0.008366867,0.008712641,0.007284742,0.001246433,0.003163659,0.014659481,0.019544369,0.004159955,0.000208426,0.006799054,0.005546181,0.37649329,0.123270657,0.000661659,0.013551009,0.011816038,0.001891578,0.00065924,0.004219821,0.006804161
blastocoelar cells,0.019003499,0.00377431,0.001188063,0.000116819,0.000204771,0,0.000245665,0,0,0.00067769,0.004086973,0.000133472,6.87E-05,0.003398577,0.000751569,0.000427249,0.003932491,0.000258016,0.00292486,0.001040869,0.000249806,0.001012836,0.002124287,0.004731873,0.001741596,0.004610212,0.001069275,0.002511387,0.004283856,0.015959832,0.004280179,0.001750179,0.001470263,0.001024337,0.003809885,0.002044074,0.000113502,0.010496316,0.003516407,0.010384722,0.020564088,0.584735997,0.020126783,0.291086454,0.014565679,0.003894097,0.230684402,0.000413718
neurons,0.000865391,0.006448143,0.008777618,0.018938513,0.0020755,0.002058108,0.017638878,0.000163989,0.002472628,0,0.030078253,0.00215816,0.00907995,0.008440397,0.019659047,0.008114349,0.001377467,0.034388431,0.027525737,0.013872099,0.00354461,0.026867599,0.02505513,0.051795182,0.021105852,0.030100678,0.021452166,0.01171043,0.07870563,0.011703172,0.03944632,0.009380761,0.005730079,0.005776733,0.013909652,0.010364476,0.0017034,0.005074513,0.001503776,0.026155907,0.019959466,0.001326637,0.001684532,0.01760628,0.000990508,0.002271509,0.001590287,0.001768097
coelomic pouches,0.002694556,0.000695571,0.003897891,0.000630452,0.000655348,0.000571978,0.000170014,0,0.000838051,0.001425713,0.000375537,0.001184619,0.000234934,0.001148556,0.003709845,0.003275792,0.002245371,0.002631922,0.00164738,0.000940551,0.001403889,0.005768515,0.000617525,0.002589018,0.001804014,0.019506892,0.011608949,0.005624999,0.052389229,0.06692242,0.043703855,0.008412039,0.002820938,0.008792126,0.045142213,0.04422686,0.001028311,0.005093058,0.0037299,0.040927154,0.065679373,0.001763137,0.004943242,0.031314473,0.005981503,0.005127855,0.018841506,0.010770606
